node,num_cpus,num_gpus,CPU_GEN,GPU_SKU,IB,CPU_FRQ,GPU_GEN,CLASS,CPU_SKU,CPU_MNF,GPU_MEM,GPU_CC,GPU_BRD
sh02-04n40,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n41,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n42,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n43,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n44,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n45,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n46,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n47,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n48,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n49,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n50,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n51,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n52,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n53,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n55,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n56,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n57,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n58,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n59,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n60,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n61,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n62,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n63,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n64,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n65,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n66,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n67,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n68,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n69,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n70,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n71,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n72,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n01,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n02,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n03,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n04,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
